timestamp,load_pu,ambient_temp_c,oil_temp_top_c,oil_temp_bottom_c,winding_hotspot_c,voltage_hv_kv,voltage_lv_kv,current_hv_a,current_lv_a,h2_ppm,ch4_ppm,c2h2_ppm,c2h4_ppm,c2h6_ppm,co_ppm,co2_ppm,vibration_rms_mm_s,partial_discharge_pc,oltc_position,fault_label
2025-11-01 11:00:00,0.5279,7.26,20.93,15.46,26.85,131.223,32.777,58.07,232.49,28.79,17.48,1.02,10.82,8.81,417.16,3393.59,1.415,5.9,9,0
2025-11-01 12:00:00,0.5151,11.01,24.16,18.9,28.69,131.976,33.479,56.33,222.07,28.53,22.6,1.47,11.87,13.18,374.85,3645.7,1.475,54.2,9,0
2025-11-01 13:00:00,0.5498,11.71,26.3,20.47,30.45,130.472,33.49,60.83,236.97,29.25,20.84,0.73,15.43,10.6,405.01,3496.22,1.38,17.5,9,0
2025-11-01 14:00:00,0.5271,12.56,26.2,20.75,29.97,130.983,32.931,58.09,231.04,28.47,19.05,1.43,13.19,13.02,404.94,3630.98,1.28,24.7,9,0
2025-11-01 15:00:00,0.4788,12.42,24.12,19.44,28.13,132.785,32.747,52.05,211.05,34.04,18.91,0.95,11.71,10.86,381.06,3450.23,1.504,88.8,9,0
2025-11-01 16:00:00,0.5022,14.63,27.26,22.21,30.64,132.244,33.073,54.81,219.15,33.83,20.36,1.07,14.16,15.06,408.01,3566.46,1.226,131.6,9,0
2025-11-01 17:00:00,0.4447,15.05,25.44,21.28,31.13,131.766,33.116,48.72,193.84,25.51,17.51,0.76,15.56,11.58,405.59,3455.01,1.394,2.4,9,0
2025-11-01 18:00:00,0.4794,16.34,28.06,23.37,32.47,131.4,33.159,52.66,208.66,30.12,20.76,0.6,15.83,14.88,399.35,3645.54,1.095,0.1,9,0
2025-11-01 19:00:00,0.4295,16.56,26.39,22.46,30.08,131.284,32.333,47.22,191.74,30.19,18.9,0.92,14.94,11.74,363.74,3589.68,1.425,12.9,9,0
2025-11-01 20:00:00,0.4035,14.94,23.84,20.28,26.31,132.132,33.834,44.07,172.12,27.66,21.04,1.39,14.88,11.92,414.46,3567.98,1.293,51.6,9,0
2025-11-01 21:00:00,0.3681,17.93,25.61,22.54,28.15,131.773,33.299,40.32,159.55,31.32,20.97,0.79,13.92,14.35,403.4,3442.04,1.469,8.4,9,0
2025-11-01 22:00:00,0.4076,16.23,25.27,21.66,28.25,133.021,32.948,44.22,178.55,34.38,18.81,1.48,16.27,10.62,406.06,3652.55,1.37,203.8,9,0
2025-11-01 23:00:00,0.3528,15.03,22.21,19.34,24.8,131.878,32.81,38.61,155.18,32.68,15.9,0.83,14.65,12.08,349.14,3663.06,1.357,13.4,9,0
2025-11-02 00:00:00,0.3364,13.77,20.42,17.76,22.83,132.039,33.261,36.78,146.0,34.04,19.51,0.68,14.85,12.81,392.03,3469.65,1.376,20.8,9,0
2025-11-02 01:00:00,0.3358,13.48,20.11,17.46,19.95,131.084,33.131,36.98,146.3,27.85,17.1,1.08,17.08,12.61,378.5,3512.96,1.276,214.4,9,0
2025-11-02 02:00:00,0.3652,10.94,18.52,15.49,20.6,131.762,33.024,40.01,159.64,30.11,20.16,1.2,16.58,12.06,419.4,3574.17,1.298,27.1,9,0
2025-11-02 03:00:00,0.3687,8.28,15.98,12.9,18.71,132.117,33.121,40.28,160.69,27.7,19.49,1.06,14.63,11.86,383.43,3342.25,1.299,37.0,9,0
2025-11-02 04:00:00,0.3837,9.74,17.94,14.66,20.12,131.754,32.97,42.03,167.96,30.72,18.82,1.05,14.35,13.27,422.19,3591.69,1.373,202.3,9,0
2025-11-02 05:00:00,0.4018,8.81,17.65,14.12,20.42,131.679,33.106,44.04,175.18,30.99,17.41,1.48,14.33,12.27,414.3,3581.92,1.317,20.4,9,0
2025-11-02 06:00:00,0.4736,7.3,18.8,14.2,23.21,132.216,33.192,51.71,205.96,32.88,22.37,1.03,10.96,13.45,403.32,3454.98,1.504,153.7,9,0
2025-11-02 07:00:00,0.4192,5.85,15.31,11.53,18.36,133.0,33.091,45.49,182.85,33.94,19.09,0.86,17.19,12.59,417.03,3324.64,1.144,27.3,9,0
2025-11-02 08:00:00,0.438,6.92,17.06,13.01,21.53,132.096,33.077,47.86,191.14,32.07,24.71,0.66,13.63,12.98,385.84,3526.68,1.194,104.9,9,0
2025-11-02 09:00:00,0.4495,5.54,16.11,11.88,20.44,132.755,33.368,48.87,194.43,27.42,20.07,1.38,16.71,13.7,388.53,3409.34,1.708,6.2,9,0
2025-11-02 10:00:00,0.51,6.47,19.41,14.24,23.74,132.41,32.578,55.59,225.94,25.94,20.7,0.87,15.08,11.54,413.84,3372.97,1.39,9.4,9,0
2025-11-02 11:00:00,0.5389,7.54,21.67,16.02,26.45,132.716,32.789,58.61,237.21,31.56,20.08,0.9,17.78,13.66,385.91,3529.69,1.317,141.1,9,0
2025-11-02 12:00:00,0.5101,10.17,23.12,17.94,25.26,131.598,33.007,55.94,223.05,34.5,20.68,1.32,16.06,11.77,380.12,3605.47,1.451,30.2,9,0
2025-11-02 13:00:00,0.4912,10.17,22.36,17.48,26.2,131.863,32.807,53.76,216.1,29.93,22.19,1.62,16.83,9.9,395.19,3482.52,1.561,0.9,9,0
2025-11-02 14:00:00,0.4888,11.38,23.47,18.64,26.45,131.866,32.895,53.5,214.45,25.42,22.21,1.08,13.82,11.51,386.77,3594.84,1.541,11.5,9,0
2025-11-02 15:00:00,0.5245,15.08,28.61,23.2,33.47,132.361,33.34,57.2,227.08,36.26,16.47,0.96,12.43,10.92,427.99,3553.17,1.35,33.3,9,0
2025-11-02 16:00:00,0.5138,14.68,27.78,22.54,32.39,132.523,32.961,55.96,224.99,31.47,21.71,1.0,15.3,12.56,411.64,3390.18,1.38,4.7,9,0
2025-11-02 17:00:00,0.4902,15.71,27.85,22.99,32.49,132.083,32.517,53.57,217.58,30.52,21.0,0.86,11.17,11.57,391.37,3455.71,1.395,33.9,9,0
2025-11-02 18:00:00,0.4334,15.79,25.76,21.78,30.08,132.579,32.888,47.19,190.22,26.5,20.07,0.89,14.07,12.19,384.99,3586.38,1.463,17.9,9,0
2025-11-02 19:00:00,0.4383,16.06,26.22,22.16,29.46,131.628,33.015,48.07,191.64,30.05,23.43,0.89,12.62,13.52,405.09,3455.06,1.426,34.0,9,0
2025-11-02 20:00:00,0.4129,14.64,23.87,20.18,28.59,132.584,33.01,44.95,180.53,32.06,23.51,1.27,13.32,14.23,417.82,3565.57,1.269,110.8,9,0
2025-11-02 21:00:00,0.3954,17.63,26.24,22.8,29.09,132.67,33.147,43.02,172.2,31.51,21.81,0.97,16.19,12.44,404.37,3467.23,1.321,9.7,9,0
2025-11-02 22:00:00,0.3974,16.61,25.29,21.82,26.93,132.447,33.125,43.31,173.17,27.96,18.91,1.41,16.06,13.63,385.74,3557.74,1.359,18.0,9,0
2025-11-02 23:00:00,0.3645,15.19,22.75,19.72,24.55,132.089,32.963,39.83,159.6,29.83,17.62,0.97,14.68,11.74,378.46,3534.37,1.605,33.8,9,0
2025-11-03 00:00:00,0.4317,14.04,23.96,19.99,26.83,132.471,32.685,47.04,190.66,28.15,21.51,0.89,15.64,9.66,394.34,3480.18,1.389,19.6,9,0
2025-11-03 01:00:00,0.41,13.71,22.84,19.19,26.17,131.41,32.884,45.03,179.96,34.99,22.72,1.38,13.92,10.23,404.74,3555.49,1.901,7.3,9,0
2025-11-03 02:00:00,0.4201,10.13,19.61,15.82,21.85,132.131,32.836,45.89,184.64,32.69,15.94,1.01,19.85,11.71,392.95,3327.26,1.37,44.0,9,0
2025-11-03 03:00:00,0.4403,9.8,20.02,15.93,23.08,132.198,32.925,48.07,193.02,28.43,22.17,0.96,15.6,13.19,415.12,3413.19,1.168,53.9,9,0
2025-11-03 04:00:00,0.3935,8.04,16.59,13.17,19.09,131.123,33.182,43.32,171.18,26.5,19.49,1.01,13.82,11.71,407.91,3462.96,1.449,144.1,9,0
2025-11-03 05:00:00,0.4484,9.92,20.45,16.23,23.51,132.313,33.107,48.91,195.48,30.84,16.38,1.44,16.75,13.78,403.57,3593.86,1.581,37.9,9,0
2025-11-03 06:00:00,0.468,8.23,19.5,14.99,23.87,131.176,33.218,51.49,203.35,28.52,20.94,1.09,17.48,14.75,407.62,3384.36,1.505,13.6,9,0
2025-11-03 07:00:00,0.4888,4.65,16.74,11.9,21.31,131.718,32.899,53.56,214.45,28.75,21.82,1.37,13.45,10.67,379.17,3497.27,1.474,60.1,9,0
2025-11-03 08:00:00,0.5256,5.17,18.74,13.31,24.37,132.026,33.398,57.46,227.15,26.6,19.3,0.93,12.16,15.19,392.53,3525.45,1.406,53.1,9,0
2025-11-03 09:00:00,0.6028,6.72,23.63,16.86,29.54,131.518,33.178,66.16,262.25,26.97,17.89,1.33,12.56,9.55,384.4,3519.86,1.459,52.5,9,0
2025-11-03 10:00:00,0.5527,6.88,21.59,15.71,27.75,132.054,33.03,60.41,241.53,30.49,23.43,1.07,13.66,14.77,405.77,3492.17,1.127,1.0,9,0
2025-11-03 11:00:00,0.6236,6.82,24.67,17.53,30.19,132.044,33.159,68.17,271.45,29.2,18.66,1.26,14.89,11.95,384.63,3450.41,1.641,74.9,9,0
2025-11-03 12:00:00,0.5541,11.13,25.9,19.99,30.01,131.459,32.822,60.84,243.66,37.49,22.32,1.29,11.74,11.65,401.24,3480.32,1.42,18.2,9,0
2025-11-03 13:00:00,0.5979,10.7,27.39,20.71,32.49,132.375,32.443,65.2,266.01,31.79,16.98,0.72,14.16,11.99,397.54,3578.04,1.671,82.6,9,0
2025-11-03 14:00:00,0.6094,12.16,29.36,22.48,35.68,131.496,32.84,66.9,267.86,26.55,20.83,1.02,14.59,10.8,409.01,3444.99,1.425,23.1,8,0
2025-11-03 15:00:00,0.6122,12.28,29.61,22.68,36.94,133.51,33.197,66.18,266.16,25.4,20.78,1.29,15.65,14.25,382.06,3327.31,1.498,121.9,8,0
2025-11-03 16:00:00,0.6,14.9,31.68,24.97,37.32,131.928,33.021,65.65,262.27,31.2,21.75,1.34,16.23,10.96,406.79,3537.35,1.687,30.5,8,0
2025-11-03 17:00:00,0.5818,14.84,30.81,24.42,36.18,131.227,32.964,63.99,254.74,28.81,22.99,1.38,15.8,11.15,383.97,3619.73,1.691,46.1,8,0
2025-11-03 18:00:00,0.5234,15.73,29.21,23.82,33.7,131.35,32.776,57.51,230.49,34.0,18.38,1.03,18.59,9.93,385.54,3415.97,1.588,16.5,8,0
2025-11-03 19:00:00,0.4941,17.12,29.42,24.5,34.03,132.757,32.484,53.72,219.55,30.85,21.04,1.46,17.19,10.91,397.87,3608.92,1.166,31.2,8,0
2025-11-03 20:00:00,0.5078,15.05,27.9,22.76,31.9,131.73,33.376,55.64,219.61,24.06,17.27,0.8,15.45,10.95,417.92,3541.72,1.262,3.8,8,0
2025-11-03 21:00:00,0.4522,18.11,28.78,24.51,31.83,131.1,32.945,49.79,198.13,26.95,17.25,0.55,13.06,10.85,387.39,3407.56,1.531,102.1,8,0
2025-11-03 22:00:00,0.399,16.19,24.93,21.43,26.56,132.563,32.887,43.44,175.11,27.98,18.85,0.92,13.65,11.74,373.34,3443.77,1.295,13.2,8,0
2025-11-03 23:00:00,0.3874,16.5,24.83,21.5,26.92,131.726,32.823,42.45,170.34,31.33,20.82,1.36,12.14,10.33,385.83,3440.27,1.405,43.5,8,0
2025-11-04 00:00:00,0.3843,12.96,21.18,17.89,24.64,132.431,33.331,41.88,166.4,26.85,23.36,0.67,15.31,14.39,394.23,3513.59,1.423,28.6,8,0
2025-11-04 01:00:00,0.4234,11.9,21.51,17.67,24.63,132.617,33.233,46.08,183.87,30.46,23.72,0.56,15.66,11.77,428.05,3485.57,1.45,60.8,8,0
2025-11-04 02:00:00,0.4161,10.37,19.72,15.98,22.07,132.181,32.745,45.44,183.43,26.0,19.29,0.48,16.79,12.56,405.84,3588.52,1.25,83.0,8,0
2025-11-04 03:00:00,0.4426,10.49,20.8,16.68,25.12,133.581,33.307,47.82,191.78,30.02,20.61,1.22,15.54,13.29,388.71,3568.02,1.575,30.7,8,0
2025-11-04 04:00:00,0.4249,9.1,18.76,14.9,21.36,130.862,32.962,46.87,186.07,31.11,21.89,0.57,17.11,15.04,397.89,3376.45,1.334,8.5,8,0
2025-11-04 05:00:00,0.4632,7.53,18.63,14.19,23.41,131.46,32.839,50.86,203.59,34.39,21.53,1.16,17.15,13.37,423.58,3386.56,1.52,29.4,8,0
2025-11-04 06:00:00,0.5013,6.19,18.78,13.74,24.17,131.831,32.922,54.89,219.79,30.74,19.66,0.9,12.95,11.63,396.41,3549.22,1.42,22.1,8,0
2025-11-04 07:00:00,0.4992,5.44,17.94,12.94,22.22,133.492,32.793,53.97,219.7,27.55,20.16,0.77,13.97,10.39,396.59,3458.84,1.738,61.8,8,0
2025-11-04 08:00:00,0.548,6.48,21.0,15.19,24.91,133.187,32.651,59.39,242.26,34.48,19.78,0.7,14.98,12.51,393.93,3486.09,1.691,49.6,8,0
2025-11-04 09:00:00,0.5386,6.24,20.36,14.71,27.12,132.851,33.205,58.52,234.12,29.45,19.59,1.06,13.59,13.59,410.45,3543.8,1.789,15.8,8,0
2025-11-04 10:00:00,0.5683,6.52,21.9,15.75,27.7,131.476,32.942,62.39,248.99,32.32,19.32,0.77,14.52,12.21,392.13,3568.76,1.732,6.5,8,0
2025-11-04 11:00:00,0.5836,9.54,25.6,19.18,31.13,131.553,33.163,64.03,254.0,28.17,19.76,1.0,15.6,12.1,413.1,3401.41,1.472,4.7,8,0
2025-11-04 12:00:00,0.5692,8.95,24.37,18.2,30.65,131.453,33.076,62.49,248.37,30.28,19.19,1.12,14.76,12.32,415.95,3322.35,1.404,48.5,8,0
2025-11-04 13:00:00,0.6231,11.51,29.33,22.2,36.49,131.483,33.145,68.4,271.32,27.6,17.73,1.18,15.0,9.2,409.21,3491.03,1.341,56.4,8,0
2025-11-04 14:00:00,0.591,11.0,27.38,20.83,34.36,132.985,32.46,64.14,262.78,30.97,21.73,1.28,13.12,12.22,396.65,3431.7,1.535,40.3,8,0
2025-11-04 15:00:00,0.5954,13.07,29.65,23.02,35.15,131.839,32.771,65.19,262.25,32.42,21.04,1.05,16.01,13.1,379.04,3505.38,1.501,47.9,8,0
2025-11-04 16:00:00,0.5936,13.98,30.47,23.87,36.72,131.926,33.15,64.94,258.44,28.52,23.76,0.69,15.87,11.93,396.65,3493.0,1.49,51.6,8,0
2025-11-04 17:00:00,0.5718,13.37,28.91,22.69,33.52,132.511,32.663,62.29,252.69,28.35,20.74,1.14,13.48,13.69,389.98,3422.05,1.362,26.8,8,0
2025-11-04 18:00:00,0.5543,17.29,32.07,26.16,37.83,130.902,33.098,61.12,241.72,31.07,19.17,1.2,12.42,13.74,388.33,3667.04,1.531,61.4,8,0
2025-11-04 19:00:00,0.5055,16.23,28.98,23.88,33.31,132.035,32.633,55.26,223.58,27.53,18.75,0.95,17.46,11.25,396.42,3501.45,1.395,52.2,8,0
2025-11-04 20:00:00,0.4699,17.28,28.63,24.09,32.61,131.276,33.004,51.66,205.48,25.45,20.1,0.91,18.5,12.66,407.2,3454.19,1.363,47.9,8,0
2025-11-04 21:00:00,0.456,15.61,26.43,22.1,29.85,131.806,33.425,49.94,196.93,31.06,21.11,1.74,15.47,12.07,390.67,3508.21,1.453,37.7,8,0
2025-11-04 22:00:00,0.3871,15.7,24.02,20.69,26.37,131.613,33.204,42.45,168.27,29.68,19.51,0.61,14.28,8.96,379.39,3542.48,1.382,34.1,8,0
2025-11-04 23:00:00,0.3784,14.2,22.23,19.02,23.97,131.579,32.511,41.51,168.01,29.62,17.06,1.15,17.09,11.72,385.63,3449.49,1.175,43.9,8,0
2025-11-05 00:00:00,0.3727,15.12,22.96,19.82,25.95,132.149,33.224,40.7,161.89,31.57,18.53,1.31,15.94,10.46,425.37,3685.72,1.268,22.0,8,0
2025-11-05 01:00:00,0.379,12.99,21.04,17.82,24.67,132.146,33.481,41.4,163.39,31.99,20.04,0.9,14.58,12.2,408.25,3378.29,1.469,26.9,8,0
2025-11-05 02:00:00,0.4243,11.75,21.4,17.54,24.01,131.855,33.738,46.45,181.53,29.52,21.48,0.95,16.94,13.03,385.65,3383.85,1.405,51.5,8,0
2025-11-05 03:00:00,0.3952,11.45,20.05,16.61,23.15,132.245,33.125,43.13,172.18,26.64,17.03,0.88,13.38,11.68,419.35,3372.15,1.106,2.2,8,0
2025-11-05 04:00:00,0.4269,10.04,19.78,15.88,23.22,131.427,32.64,46.88,188.77,28.09,20.53,1.0,13.62,10.65,396.42,3500.41,1.518,77.5,8,0
2025-11-05 05:00:00,0.4979,8.62,21.07,16.09,25.29,132.45,33.115,54.26,217.02,31.76,20.45,1.27,15.73,12.35,434.19,3537.94,1.442,108.7,8,0
2025-11-05 06:00:00,0.4724,5.64,17.08,12.5,19.65,131.864,33.421,51.7,204.0,30.41,19.1,0.94,15.23,15.67,403.95,3473.66,1.277,2.0,8,0
2025-11-05 07:00:00,0.5311,5.86,19.67,14.14,23.42,131.681,32.951,58.21,232.62,28.36,18.83,1.93,16.28,8.74,408.5,3537.7,1.365,39.3,8,0
2025-11-05 08:00:00,0.5068,5.38,18.19,13.07,21.93,131.475,33.275,55.64,219.83,27.65,18.53,0.86,17.39,12.35,412.57,3536.63,1.478,41.0,8,0
2025-11-05 09:00:00,0.5528,7.29,22.0,16.12,25.49,131.841,32.778,60.52,243.41,31.86,20.29,1.41,11.9,11.19,422.31,3471.24,1.145,11.3,8,0
2025-11-05 10:00:00,0.5511,7.23,21.88,16.02,28.17,133.235,33.098,59.71,240.34,29.34,22.26,1.16,15.08,11.36,393.43,3534.3,1.539,1.6,8,0
2025-11-05 11:00:00,0.5854,6.46,22.59,16.14,28.71,131.958,32.343,64.03,261.23,32.26,22.4,1.03,18.8,11.84,421.01,3484.39,1.641,47.9,8,0
2025-11-05 12:00:00,0.6307,8.7,26.88,19.61,33.62,131.245,32.749,69.36,277.99,32.64,17.76,1.44,13.81,11.49,390.66,3467.38,1.649,40.5,8,0
2025-11-05 13:00:00,0.5571,8.6,23.5,17.54,27.03,132.606,32.998,60.64,243.68,29.07,19.63,0.52,13.57,12.9,394.59,3460.23,1.652,6.9,8,0
2025-11-05 14:00:00,0.6186,11.33,28.95,21.91,34.0,131.689,32.904,67.8,271.33,32.85,15.62,1.13,10.52,11.64,400.15,3518.75,1.392,21.5,8,0
2025-11-05 15:00:00,0.6027,11.03,27.93,21.17,34.1,132.187,32.657,65.81,266.37,30.42,20.22,0.79,15.21,8.76,413.82,3597.53,1.656,17.8,8,0
2025-11-05 16:00:00,0.5618,14.42,29.52,23.48,36.46,131.6,32.868,61.62,246.72,30.81,21.2,0.87,16.16,13.92,395.06,3403.71,1.522,50.6,8,0
2025-11-05 17:00:00,0.5155,15.3,28.47,23.2,32.43,132.845,33.087,56.01,224.9,23.44,23.15,0.86,16.16,13.7,424.78,3461.69,1.332,72.1,8,0
2025-11-05 18:00:00,0.537,17.63,31.68,26.06,37.27,131.61,32.977,58.89,235.03,27.09,16.43,0.71,12.93,11.09,419.91,3513.13,1.539,2.2,8,0
2025-11-05 19:00:00,0.493,17.07,29.32,24.42,33.07,132.923,33.016,53.54,215.54,27.26,17.83,0.5,14.99,12.08,400.61,3640.66,1.512,63.8,8,0
2025-11-05 20:00:00,0.49,15.96,28.1,23.25,32.23,131.307,33.193,53.87,213.08,29.05,20.29,1.12,15.45,13.83,385.53,3534.65,1.676,104.3,8,0
2025-11-05 21:00:00,0.4596,17.04,27.99,23.61,32.55,131.807,32.909,50.33,201.57,30.35,16.77,0.98,15.11,13.55,415.03,3435.1,1.609,74.4,8,0
2025-11-05 22:00:00,0.4863,14.32,26.31,21.51,30.05,132.924,33.359,52.8,210.4,30.47,20.35,0.91,12.81,14.04,368.58,3426.21,1.34,86.5,8,0
2025-11-05 23:00:00,0.4151,13.96,23.27,19.55,25.65,132.111,32.739,45.36,183.03,30.86,21.25,1.23,15.16,12.56,411.14,3578.93,1.459,5.1,8,0
2025-11-06 00:00:00,0.3821,14.08,22.23,18.97,25.85,133.499,33.509,41.31,164.6,27.95,17.44,1.14,13.37,13.16,387.66,3475.03,1.441,90.1,8,0
2025-11-06 01:00:00,0.4148,10.38,19.68,15.96,22.64,131.822,33.294,45.42,179.83,32.08,20.27,0.92,11.26,14.12,418.86,3401.65,1.445,23.3,8,0
2025-11-06 02:00:00,0.4194,11.21,20.67,16.89,24.54,132.17,32.906,45.8,183.98,35.43,17.58,1.92,16.37,11.49,379.23,3581.23,1.364,24.9,8,0
2025-11-06 03:00:00,0.4636,8.93,20.04,15.6,23.14,133.257,32.924,50.21,203.24,28.95,22.76,1.31,15.28,12.66,390.09,3524.78,1.695,13.2,8,0
2025-11-06 04:00:00,0.4638,8.85,19.96,15.51,24.74,131.001,33.055,51.1,202.51,28.02,20.42,1.73,16.19,8.78,406.59,3404.59,1.338,55.8,8,0
2025-11-06 05:00:00,0.4701,6.63,17.99,13.45,21.97,130.919,33.158,51.83,204.65,27.95,18.72,0.88,13.93,9.63,409.04,3392.9,1.685,26.0,8,0
2025-11-06 06:00:00,0.5274,7.34,20.99,15.53,26.07,131.475,33.289,57.9,228.69,30.26,17.53,1.08,16.26,12.75,390.63,3326.71,1.25,16.2,8,0
2025-11-06 07:00:00,0.4738,6.44,17.93,13.33,21.86,132.537,32.646,51.59,209.46,28.43,20.78,0.63,17.05,12.98,395.04,3450.34,1.38,169.4,8,0
2025-11-06 08:00:00,0.5161,7.65,20.83,15.56,24.96,130.937,33.115,56.89,224.95,24.82,22.72,0.9,18.51,11.42,414.31,3524.49,1.573,10.9,8,0
2025-11-06 09:00:00,0.5316,6.42,20.25,14.72,25.05,132.394,32.441,57.96,236.53,25.64,18.46,0.83,16.63,11.09,415.12,3576.97,1.308,46.5,8,0
2025-11-06 10:00:00,0.5684,6.15,21.54,15.38,26.68,132.348,32.953,61.99,248.98,33.07,19.13,1.9,15.77,11.47,394.74,3534.12,1.374,125.7,8,0
2025-11-06 11:00:00,0.5547,7.46,22.26,16.34,28.26,133.329,33.384,60.05,239.84,33.85,18.5,0.79,12.24,12.29,390.91,3395.74,1.558,28.9,8,0
2025-11-06 12:00:00,0.6251,7.4,25.32,18.15,31.8,132.69,32.626,67.99,276.53,34.81,23.12,0.93,14.79,8.53,379.48,3477.43,1.253,42.5,8,0
2025-11-06 13:00:00,0.6028,10.36,27.26,20.5,32.24,132.24,32.578,65.79,267.05,30.69,16.19,0.56,12.16,12.7,403.82,3614.48,1.667,56.8,8,0
2025-11-06 14:00:00,0.5619,11.84,26.94,20.9,30.97,132.897,33.058,61.03,245.33,27.03,22.58,1.16,13.37,12.05,412.21,3459.16,1.703,23.5,8,0
2025-11-06 15:00:00,0.5656,15.01,30.28,24.17,34.33,132.356,33.366,61.68,244.65,28.69,19.25,0.73,18.91,12.37,402.29,3561.64,1.711,48.8,8,0
2025-11-06 16:00:00,0.5895,13.12,29.44,22.91,35.84,131.696,33.086,64.61,257.19,25.53,19.86,1.28,12.96,11.82,386.15,3551.76,1.544,6.9,8,0
2025-11-06 17:00:00,0.5846,14.51,30.61,24.17,35.5,131.245,32.497,64.29,259.64,25.42,19.32,0.46,10.32,9.93,426.82,3560.92,1.428,18.6,8,0
2025-11-06 18:00:00,0.5952,15.0,31.57,24.94,37.83,131.624,32.556,65.27,263.89,30.77,20.48,0.96,16.63,10.36,368.47,3534.63,1.443,243.8,8,0
2025-11-06 19:00:00,0.5968,16.29,32.93,26.27,39.09,131.974,33.026,65.28,260.85,31.62,18.55,0.45,13.66,14.29,413.19,3560.68,1.542,26.8,8,0
2025-11-06 20:00:00,0.496,16.63,29.0,24.05,33.13,132.116,32.689,54.19,219.0,35.88,22.12,0.85,16.54,11.04,403.27,3381.62,1.467,31.9,8,0
2025-11-06 21:00:00,0.4297,16.02,25.86,21.92,29.35,130.591,33.036,47.5,187.76,29.76,22.2,0.91,12.66,13.21,407.05,3621.37,1.358,29.7,8,0
2025-11-06 22:00:00,0.3748,16.66,24.56,21.4,27.08,131.855,33.052,41.02,163.65,25.93,18.04,0.82,14.15,10.38,388.22,3355.62,1.625,278.7,8,0
2025-11-06 23:00:00,0.4309,14.16,24.04,20.09,25.03,132.019,32.871,47.11,189.19,29.64,21.34,0.85,17.4,11.98,397.74,3525.09,1.378,42.8,8,0
2025-11-07 00:00:00,0.389,14.59,22.98,19.62,25.29,132.361,33.479,42.41,167.69,29.16,19.29,1.29,12.36,11.34,404.42,3496.27,1.61,42.9,8,0
2025-11-07 01:00:00,0.3975,12.94,21.62,18.15,24.65,133.074,33.156,43.11,173.03,28.53,20.11,1.65,14.67,11.57,398.73,3450.1,1.414,69.3,8,0
2025-11-07 02:00:00,0.395,11.09,19.69,16.25,23.65,132.123,33.32,43.15,171.1,31.04,23.06,1.1,15.59,11.49,373.12,3422.13,1.403,15.8,8,0
2025-11-07 03:00:00,0.4191,9.5,18.95,15.17,23.28,131.4,33.243,46.04,181.97,26.36,18.66,0.74,13.57,14.17,425.71,3544.13,1.487,159.5,8,0
2025-11-07 04:00:00,0.4712,11.03,22.43,17.87,25.12,130.8,32.96,52.0,206.34,30.4,21.86,1.02,15.49,14.89,409.78,3564.26,1.511,12.9,8,0
2025-11-07 05:00:00,0.4646,6.75,17.9,13.44,21.29,132.453,32.949,50.63,203.55,31.96,20.92,0.89,15.04,12.36,400.54,3491.9,1.411,115.4,8,0
